0it [00:00, ?it/s]0it [00:14, ?it/s]
using 0 images for training, 0 images for validation.
[epoch 1, batch 168] loss: 0.707
[epoch 1, batch 169] loss: 0.691
[epoch 1, batch 170] loss: 0.731
[epoch 1, batch 171] loss: 0.694
[epoch 1, batch 172] loss: 0.674
[epoch 1, batch 173] loss: 0.674
[epoch 1, batch 174] loss: 0.657
[epoch 1, batch 175] loss: 0.686
[epoch 1, batch 176] loss: 0.691
[epoch 1, batch 177] loss: 0.684
[epoch 1, batch 178] loss: 0.697
[epoch 1, batch 179] loss: 0.655
[epoch 1, batch 180] loss: 0.690
[epoch 1, batch 181] loss: 0.671
[epoch 1, batch 182] loss: 0.698
[epoch 1, batch 183] loss: 0.678
[epoch 1, batch 184] loss: 0.615
[epoch 1, batch 185] loss: 0.671
[epoch 1, batch 186] loss: 0.777
[epoch 1, batch 187] loss: 0.717
[epoch 1, batch 188] loss: 0.699
[epoch 1, batch 189] loss: 0.666
[epoch 1, batch 190] loss: 0.684
[epoch 1, batch 191] loss: 0.756
[epoch 1, batch 192] loss: 0.667
[epoch 1, batch 193] loss: 0.693
[epoch 1, batch 194] loss: 0.673
[epoch 1, batch 195] loss: 0.717
[epoch 1, batch 196] loss: 0.677
[epoch 1, batch 197] loss: 0.702
[epoch 1, batch 198] loss: 0.679
[epoch 1, batch 199] loss: 0.668
[epoch 1, batch 200] loss: 0.687
[epoch 1, batch 201] loss: 0.749
[epoch 1, batch 202] loss: 0.675
[epoch 1, batch 203] loss: 0.664
[epoch 1, batch 204] loss: 0.729
[epoch 1, batch 205] loss: 0.736
[epoch 1, batch 206] loss: 0.644
  0%|                        | 0/30 [00:00<?, ?it/s]valid epoch[1/200] loss:0.751 acc:19.000:   3%| | 1/valid epoch[1/200] loss:0.742 acc:55.000:  10%|1| 3/valid epoch[1/200] loss:0.748 acc:194.000:  37%|3| 1valid epoch[1/200] loss:0.760 acc:300.000:  57%|5| 1valid epoch[1/200] loss:0.719 acc:366.000:  70%|7| 2valid epoch[1/200] loss:0.770 acc:418.000:  80%|8| 2valid epoch[1/200] loss:0.657 acc:514.000: 100%|#| 3valid epoch[1/200] loss:0.657 acc:514.000: 100%|#| 3
[epoch 1] train_loss: 0.718  val_accuracy: 0.543
[epoch 2, batch 1] loss: 0.688
[epoch 2, batch 2] loss: 0.693
[epoch 2, batch 3] loss: 0.657
[epoch 2, batch 4] loss: 0.704
[epoch 2, batch 5] loss: 0.680
[epoch 2, batch 6] loss: 0.768
[epoch 2, batch 7] loss: 0.660
[epoch 2, batch 8] loss: 0.691
[epoch 2, batch 9] loss: 0.657
[epoch 2, batch 10] loss: 0.713
[epoch 2, batch 11] loss: 0.661
[epoch 2, batch 12] loss: 0.665
[epoch 2, batch 13] loss: 0.700
[epoch 2, batch 14] loss: 0.686
[epoch 2, batch 15] loss: 0.679
[epoch 2, batch 16] loss: 0.687
[epoch 2, batch 17] loss: 0.727
[epoch 2, batch 18] loss: 0.678
[epoch 2, batch 19] loss: 0.679
[epoch 2, batch 20] loss: 0.689
[epoch 2, batch 21] loss: 0.709
[epoch 2, batch 22] loss: 0.791
[epoch 2, batch 23] loss: 0.663
[epoch 2, batch 24] loss: 0.680
[epoch 2, batch 25] loss: 0.654
[epoch 2, batch 26] loss: 0.694
[epoch 2, batch 27] loss: 0.684
[epoch 2, batch 28] loss: 0.713
[epoch 2, batch 29] loss: 0.714
[epoch 2, batch 30] loss: 0.711
[epoch 2, batch 31] loss: 0.722
[epoch 2, batch 32] loss: 0.683
[epoch 2, batch 33] loss: 0.734
[epoch 2, batch 34] loss: 0.678
[epoch 2, batch 35] loss: 0.645
[epoch 2, batch 36] loss: 0.662
[epoch 2, batch 37] loss: 0.719
[epoch 2, batch 38] loss: 0.678
[epoch 2, batch 39] loss: 0.704
[epoch 2, batch 40] loss: 0.679
[epoch 2, batch 41] loss: 0.715
[epoch 2, batch 42] loss: 0.708
[epoch 2, batch 43] loss: 0.680
[epoch 2, batch 44] loss: 0.702
[epoch 2, batch 45] loss: 0.655
[epoch 2, batch 46] loss: 0.673
[epoch 2, batch 47] loss: 0.675
[epoch 2, batch 48] loss: 0.732
[epoch 2, batch 49] loss: 0.737
[epoch 2, batch 50] loss: 0.735
[epoch 2, batch 51] loss: 0.716
[epoch 2, batch 52] loss: 0.670
[epoch 2, batch 53] loss: 0.661
[epoch 2, batch 54] loss: 0.735
[epoch 2, batch 55] loss: 0.690
[epoch 2, batch 56] loss: 0.707
[epoch 2, batch 57] loss: 0.711
[epoch 2, batch 58] loss: 0.669
[epoch 2, batch 59] loss: 0.657
[epoch 2, batch 60] loss: 0.682
[epoch 2, batch 61] loss: 0.680
[epoch 2, batch 62] loss: 0.682
[epoch 2, batch 63] loss: 0.666
[epoch 2, batch 64] loss: 0.695
[epoch 2, batch 65] loss: 0.723
[epoch 2, batch 66] loss: 0.707
[epoch 2, batch 67] loss: 0.658
[epoch 2, batch 68] loss: 0.713
[epoch 2, batch 69] loss: 0.682
[epoch 2, batch 70] loss: 0.706
[epoch 2, batch 71] loss: 0.678
[epoch 2, batch 72] loss: 0.667
[epoch 2, batch 73] loss: 0.700
[epoch 2, batch 74] loss: 0.754
[epoch 2, batch 75] loss: 0.704
[epoch 2, batch 76] loss: 0.698
[epoch 2, batch 77] loss: 0.692
[epoch 2, batch 78] loss: 0.650
[epoch 2, batch 79] loss: 0.714
[epoch 2, batch 80] loss: 0.693
[epoch 2, batch 81] loss: 0.665
[epoch 2, batch 82] loss: 0.704
[epoch 2, batch 83] loss: 0.751
[epoch 2, batch 84] loss: 0.717
[epoch 2, batch 85] loss: 0.663
[epoch 2, batch 86] loss: 0.698
[epoch 2, batch 87] loss: 0.687
[epoch 2, batch 88] loss: 0.668
[epoch 2, batch 89] loss: 0.705
[epoch 2, batch 90] loss: 0.684
[epoch 2, batch 91] loss: 0.685
[epoch 2, batch 92] loss: 0.688
[epoch 2, batch 93] loss: 0.679
[epoch 2, batch 94] loss: 0.675
[epoch 2, batch 95] loss: 0.693
[epoch 2, batch 96] loss: 0.695
[epoch 2, batch 97] loss: 0.709
[epoch 2, batch 98] loss: 0.715
[epoch 2, batch 99] loss: 0.715
[epoch 2, batch 100] loss: 0.688
[epoch 2, batch 101] loss: 0.687
[epoch 2, batch 102] loss: 0.704
[epoch 2, batch 103] loss: 0.697
[epoch 2, batch 104] loss: 0.700
[epoch 2, batch 105] loss: 0.702
[epoch 2, batch 106] loss: 0.695
[epoch 2, batch 107] loss: 0.673
[epoch 2, batch 108] loss: 0.702
[epoch 2, batch 109] loss: 0.679
[epoch 2, batch 110] loss: 0.670
[epoch 2, batch 111] loss: 0.689
[epoch 2, batch 112] loss: 0.709
[epoch 2, batch 113] loss: 0.698
[epoch 2, batch 114] loss: 0.663
[epoch 2, batch 115] loss: 0.687
[epoch 2, batch 116] loss: 0.693
[epoch 2, batch 117] loss: 0.679
[epoch 2, batch 118] loss: 0.669
[epoch 2, batch 119] loss: 0.705
[epoch 2, batch 120] loss: 0.691
[epoch 2, batch 121] loss: 0.739
[epoch 2, batch 122] loss: 0.675
[epoch 2, batch 123] loss: 0.709
[epoch 2, batch 124] loss: 0.686
[epoch 2, batch 125] loss: 0.688
[epoch 2, batch 126] loss: 0.683
[epoch 2, batch 127] loss: 0.683
[epoch 2, batch 128] loss: 0.687
[epoch 2, batch 129] loss: 0.664
[epoch 2, batch 130] loss: 0.680
[epoch 2, batch 131] loss: 0.646
[epoch 2, batch 132] loss: 0.690
[epoch 2, batch 133] loss: 0.681
[epoch 2, batch 134] loss: 0.675
[epoch 2, batch 135] loss: 0.671
[epoch 2, batch 136] loss: 0.685
[epoch 2, batch 137] loss: 0.725
[epoch 2, batch 138] loss: 0.677
[epoch 2, batch 139] loss: 0.719
[epoch 2, batch 140] loss: 0.697
[epoch 2, batch 141] loss: 0.687
[epoch 2, batch 142] loss: 0.674
[epoch 2, batch 143] loss: 0.704
[epoch 2, batch 144] loss: 0.741
[epoch 2, batch 145] loss: 0.719
[epoch 2, batch 146] loss: 0.693
[epoch 2, batch 147] loss: 0.689
[epoch 2, batch 148] loss: 0.717
[epoch 2, batch 149] loss: 0.715
[epoch 2, batch 150] loss: 0.676
[epoch 2, batch 151] loss: 0.670
[epoch 2, batch 152] loss: 0.674
[epoch 2, batch 153] loss: 0.700
[epoch 2, batch 154] loss: 0.694
[epoch 2, batch 155] loss: 0.689
[epoch 2, batch 156] loss: 0.682
[epoch 2, batch 157] loss: 0.672
[epoch 2, batch 158] loss: 0.689
[epoch 2, batch 159] loss: 0.720
[epoch 2, batch 160] loss: 0.678
[epoch 2, batch 161] loss: 0.700
[epoch 2, batch 162] loss: 0.689
[epoch 2, batch 163] loss: 0.714
[epoch 2, batch 164] loss: 0.687
[epoch 2, batch 165] loss: 0.676
[epoch 2, batch 166] loss: 0.749
[epoch 2, batch 167] loss: 0.690
[epoch 2, batch 168] loss: 0.679
[epoch 2, batch 169] loss: 0.634
[epoch 2, batch 170] loss: 0.732
[epoch 2, batch 171] loss: 0.712
[epoch 2, batch 172] loss: 0.670
[epoch 2, batch 173] loss: 0.665
[epoch 2, batch 174] loss: 0.675
[epoch 2, batch 175] loss: 0.677
[epoch 2, batch 176] loss: 0.697
[epoch 2, batch 177] loss: 0.663
[epoch 2, batch 178] loss: 0.678
[epoch 2, batch 179] loss: 0.659
[epoch 2, batch 180] loss: 0.704
[epoch 2, batch 181] loss: 0.675
[epoch 2, batch 182] loss: 0.677
[epoch 2, batch 183] loss: 0.692
[epoch 2, batch 184] loss: 0.646
[epoch 2, batch 185] loss: 0.680
[epoch 2, batch 186] loss: 0.727
[epoch 2, batch 187] loss: 0.700
[epoch 2, batch 188] loss: 0.686
[epoch 2, batch 189] loss: 0.666
[epoch 2, batch 190] loss: 0.671
[epoch 2, batch 191] loss: 0.695
[epoch 2, batch 192] loss: 0.659
[epoch 2, batch 193] loss: 0.698
[epoch 2, batch 194] loss: 0.681
[epoch 2, batch 195] loss: 0.718
[epoch 2, batch 196] loss: 0.683
[epoch 2, batch 197] loss: 0.705
[epoch 2, batch 198] loss: 0.669
[epoch 2, batch 199] loss: 0.696
[epoch 2, batch 200] loss: 0.668
[epoch 2, batch 201] loss: 0.716
[epoch 2, batch 202] loss: 0.700
[epoch 2, batch 203] loss: 0.666
[epoch 2, batch 204] loss: 0.699
[epoch 2, batch 205] loss: 0.710
[epoch 2, batch 206] loss: 0.653
  0%|                        | 0/30 [00:00<?, ?it/s]valid epoch[2/200] loss:0.711 acc:19.000:   3%| | 1/valid epoch[2/200] loss:0.692 acc:139.000:  27%|2| 8valid epoch[2/200] loss:0.782 acc:261.000:  50%|5| 1valid epoch[2/200] loss:0.676 acc:385.000:  73%|7| 2valid epoch[2/200] loss:0.687 acc:512.000:  97%|9| 2valid epoch[2/200] loss:0.668 acc:522.000: 100%|#| 3
[epoch 2] train_loss: 0.691  val_accuracy: 0.552
[epoch 3, batch 1] loss: 0.685
[epoch 3, batch 2] loss: 0.678
[epoch 3, batch 3] loss: 0.665
[epoch 3, batch 4] loss: 0.669
[epoch 3, batch 5] loss: 0.683
[epoch 3, batch 6] loss: 0.758
[epoch 3, batch 7] loss: 0.674
[epoch 3, batch 8] loss: 0.696
[epoch 3, batch 9] loss: 0.664
[epoch 3, batch 10] loss: 0.737
[epoch 3, batch 11] loss: 0.648
[epoch 3, batch 12] loss: 0.659
[epoch 3, batch 13] loss: 0.723
[epoch 3, batch 14] loss: 0.687
[epoch 3, batch 15] loss: 0.677
[epoch 3, batch 16] loss: 0.669
[epoch 3, batch 17] loss: 0.710
[epoch 3, batch 18] loss: 0.707
[epoch 3, batch 19] loss: 0.710
[epoch 3, batch 20] loss: 0.661
[epoch 3, batch 21] loss: 0.717
[epoch 3, batch 22] loss: 0.749
[epoch 3, batch 23] loss: 0.671
[epoch 3, batch 24] loss: 0.691
[epoch 3, batch 25] loss: 0.672
[epoch 3, batch 26] loss: 0.694
[epoch 3, batch 27] loss: 0.674
[epoch 3, batch 28] loss: 0.703
[epoch 3, batch 29] loss: 0.703
[epoch 3, batch 30] loss: 0.714
[epoch 3, batch 31] loss: 0.706
[epoch 3, batch 32] loss: 0.692
[epoch 3, batch 33] loss: 0.705
[epoch 3, batch 34] loss: 0.675
[epoch 3, batch 35] loss: 0.662
[epoch 3, batch 36] loss: 0.664
[epoch 3, batch 37] loss: 0.723
[epoch 3, batch 38] loss: 0.701
[epoch 3, batch 39] loss: 0.697
[epoch 3, batch 40] loss: 0.664
[epoch 3, batch 41] loss: 0.711
[epoch 3, batch 42] loss: 0.716
[epoch 3, batch 43] loss: 0.672
[epoch 3, batch 44] loss: 0.684
[epoch 3, batch 45] loss: 0.661
[epoch 3, batch 46] loss: 0.697
[epoch 3, batch 47] loss: 0.649
[epoch 3, batch 48] loss: 0.647
[epoch 3, batch 49] loss: 0.737
[epoch 3, batch 50] loss: 0.667
[epoch 3, batch 51] loss: 0.712
[epoch 3, batch 52] loss: 0.675
[epoch 3, batch 53] loss: 0.695
[epoch 3, batch 54] loss: 0.704
[epoch 3, batch 55] loss: 0.684
[epoch 3, batch 56] loss: 0.700
[epoch 3, batch 57] loss: 0.727
[epoch 3, batch 58] loss: 0.669
[epoch 3, batch 59] loss: 0.653
[epoch 3, batch 60] loss: 0.653
[epoch 3, batch 61] loss: 0.689
[epoch 3, batch 62] loss: 0.678
[epoch 3, batch 63] loss: 0.661
[epoch 3, batch 64] loss: 0.677
[epoch 3, batch 65] loss: 0.713
[epoch 3, batch 66] loss: 0.695
[epoch 3, batch 67] loss: 0.662
[epoch 3, batch 68] loss: 0.710
[epoch 3, batch 69] loss: 0.679
[epoch 3, batch 70] loss: 0.711
[epoch 3, batch 71] loss: 0.683
[epoch 3, batch 72] loss: 0.674
[epoch 3, batch 73] loss: 0.691
[epoch 3, batch 74] loss: 0.737
[epoch 3, batch 75] loss: 0.685
[epoch 3, batch 76] loss: 0.705
[epoch 3, batch 77] loss: 0.706
[epoch 3, batch 78] loss: 0.656
[epoch 3, batch 79] loss: 0.691
[epoch 3, batch 80] loss: 0.680
[epoch 3, batch 81] loss: 0.687
[epoch 3, batch 82] loss: 0.674
[epoch 3, batch 83] loss: 0.708
[epoch 3, batch 84] loss: 0.701
[epoch 3, batch 85] loss: 0.658
[epoch 3, batch 86] loss: 0.686
[epoch 3, batch 87] loss: 0.694
[epoch 3, batch 88] loss: 0.658
[epoch 3, batch 89] loss: 0.708
[epoch 3, batch 90] loss: 0.681
[epoch 3, batch 91] loss: 0.696
[epoch 3, batch 92] loss: 0.685
[epoch 3, batch 93] loss: 0.697
[epoch 3, batch 94] loss: 0.681
[epoch 3, batch 95] loss: 0.680
[epoch 3, batch 96] loss: 0.692
[epoch 3, batch 97] loss: 0.702
[epoch 3, batch 98] loss: 0.691
[epoch 3, batch 99] loss: 0.692
[epoch 3, batch 100] loss: 0.693
[epoch 3, batch 101] loss: 0.676
[epoch 3, batch 102] loss: 0.696
[epoch 3, batch 103] loss: 0.696
[epoch 3, batch 104] loss: 0.710
[epoch 3, batch 105] loss: 0.706
[epoch 3, batch 106] loss: 0.682
[epoch 3, batch 107] loss: 0.667
[epoch 3, batch 108] loss: 0.684
[epoch 3, batch 109] loss: 0.681
[epoch 3, batch 110] loss: 0.664
[epoch 3, batch 111] loss: 0.685
[epoch 3, batch 112] loss: 0.702
[epoch 3, batch 113] loss: 0.692
[epoch 3, batch 114] loss: 0.667
[epoch 3, batch 115] loss: 0.693
[epoch 3, batch 116] loss: 0.685
[epoch 3, batch 117] loss: 0.684
[epoch 3, batch 118] loss: 0.667
[epoch 3, batch 119] loss: 0.702
[epoch 3, batch 120] loss: 0.692
[epoch 3, batch 121] loss: 0.740
[epoch 3, batch 122] loss: 0.669
[epoch 3, batch 123] loss: 0.698
[epoch 3, batch 124] loss: 0.676
[epoch 3, batch 125] loss: 0.692
[epoch 3, batch 126] loss: 0.683
[epoch 3, batch 127] loss: 0.669
[epoch 3, batch 128] loss: 0.684
[epoch 3, batch 129] loss: 0.668
[epoch 3, batch 130] loss: 0.682
[epoch 3, batch 131] loss: 0.653
[epoch 3, batch 132] loss: 0.692
[epoch 3, batch 133] loss: 0.686
[epoch 3, batch 134] loss: 0.669
[epoch 3, batch 135] loss: 0.672
[epoch 3, batch 136] loss: 0.670
[epoch 3, batch 137] loss: 0.707
[epoch 3, batch 138] loss: 0.677
[epoch 3, batch 139] loss: 0.709
[epoch 3, batch 140] loss: 0.691
[epoch 3, batch 141] loss: 0.679
[epoch 3, batch 142] loss: 0.639
[epoch 3, batch 143] loss: 0.705
[epoch 3, batch 144] loss: 0.735
[epoch 3, batch 145] loss: 0.711
[epoch 3, batch 146] loss: 0.682
[epoch 3, batch 147] loss: 0.687
[epoch 3, batch 148] loss: 0.693
[epoch 3, batch 149] loss: 0.707
[epoch 3, batch 150] loss: 0.669
[epoch 3, batch 151] loss: 0.672
[epoch 3, batch 152] loss: 0.669
[epoch 3, batch 153] loss: 0.682
[epoch 3, batch 154] loss: 0.698
[epoch 3, batch 155] loss: 0.675
[epoch 3, batch 156] loss: 0.677
[epoch 3, batch 157] loss: 0.673
[epoch 3, batch 158] loss: 0.694
[epoch 3, batch 159] loss: 0.686
[epoch 3, batch 160] loss: 0.676
[epoch 3, batch 161] loss: 0.696
[epoch 3, batch 162] loss: 0.685
[epoch 3, batch 163] loss: 0.713
[epoch 3, batch 164] loss: 0.687
[epoch 3, batch 165] loss: 0.670
[epoch 3, batch 166] loss: 0.744
[epoch 3, batch 167] loss: 0.686
[epoch 3, batch 168] loss: 0.689
[epoch 3, batch 169] loss: 0.631
[epoch 3, batch 170] loss: 0.734
[epoch 3, batch 171] loss: 0.720
[epoch 3, batch 172] loss: 0.669
[epoch 3, batch 173] loss: 0.659
[epoch 3, batch 174] loss: 0.676
[epoch 3, batch 175] loss: 0.673
[epoch 3, batch 176] loss: 0.698
[epoch 3, batch 177] loss: 0.654
[epoch 3, batch 178] loss: 0.670
[epoch 3, batch 179] loss: 0.655
[epoch 3, batch 180] loss: 0.704
[epoch 3, batch 181] loss: 0.675
[epoch 3, batch 182] loss: 0.669
[epoch 3, batch 183] loss: 0.692
[epoch 3, batch 184] loss: 0.633
[epoch 3, batch 185] loss: 0.672
[epoch 3, batch 186] loss: 0.729
[epoch 3, batch 187] loss: 0.693
[epoch 3, batch 188] loss: 0.694
[epoch 3, batch 189] loss: 0.668
[epoch 3, batch 190] loss: 0.666
[epoch 3, batch 191] loss: 0.687
[epoch 3, batch 192] loss: 0.666
[epoch 3, batch 193] loss: 0.693
[epoch 3, batch 194] loss: 0.682
[epoch 3, batch 195] loss: 0.719
[epoch 3, batch 196] loss: 0.673
[epoch 3, batch 197] loss: 0.705
[epoch 3, batch 198] loss: 0.673
[epoch 3, batch 199] loss: 0.703
[epoch 3, batch 200] loss: 0.666
[epoch 3, batch 201] loss: 0.733
[epoch 3, batch 202] loss: 0.708
[epoch 3, batch 203] loss: 0.666
[epoch 3, batch 204] loss: 0.701
[epoch 3, batch 205] loss: 0.702
[epoch 3, batch 206] loss: 0.654
  0%|                        | 0/30 [00:00<?, ?it/s]valid epoch[3/200] loss:0.694 acc:19.000:   3%| | 1/valid epoch[3/200] loss:0.675 acc:36.000:   7%| | 2/valid epoch[3/200] loss:0.700 acc:158.000:  30%|3| 9valid epoch[3/200] loss:0.689 acc:282.000:  53%|5| 1valid epoch[3/200] loss:0.689 acc:387.000:  73%|7| 2valid epoch[3/200] loss:0.693 acc:509.000:  97%|9| 2valid epoch[3/200] loss:0.677 acc:519.000: 100%|#| 3
[epoch 3] train_loss: 0.687  val_accuracy: 0.549
[epoch 4, batch 1] loss: 0.685
[epoch 4, batch 2] loss: 0.669
[epoch 4, batch 3] loss: 0.667
[epoch 4, batch 4] loss: 0.658
[epoch 4, batch 5] loss: 0.686
[epoch 4, batch 6] loss: 0.754
[epoch 4, batch 7] loss: 0.668
[epoch 4, batch 8] loss: 0.695
[epoch 4, batch 9] loss: 0.668
[epoch 4, batch 10] loss: 0.736
[epoch 4, batch 11] loss: 0.643
[epoch 4, batch 12] loss: 0.663
[epoch 4, batch 13] loss: 0.719
[epoch 4, batch 14] loss: 0.688
[epoch 4, batch 15] loss: 0.679
[epoch 4, batch 16] loss: 0.662
[epoch 4, batch 17] loss: 0.707
[epoch 4, batch 18] loss: 0.710
[epoch 4, batch 19] loss: 0.719
[epoch 4, batch 20] loss: 0.662
[epoch 4, batch 21] loss: 0.712
[epoch 4, batch 22] loss: 0.728
[epoch 4, batch 23] loss: 0.669
[epoch 4, batch 24] loss: 0.699
[epoch 4, batch 25] loss: 0.678
[epoch 4, batch 26] loss: 0.692
[epoch 4, batch 27] loss: 0.677
[epoch 4, batch 28] loss: 0.700
[epoch 4, batch 29] loss: 0.694
[epoch 4, batch 30] loss: 0.709
[epoch 4, batch 31] loss: 0.700
[epoch 4, batch 32] loss: 0.684
[epoch 4, batch 33] loss: 0.699
[epoch 4, batch 34] loss: 0.670
